GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,team_poss,team_minutes,team_FGM,USG%,player_poss,PTS_per_poss,TS%,TO%,AST%,AST_pct_bbr
22200466,1610612749,1628960,G,34.02,2,7,0.286,2,3,0.667,0,0,0.0,1,2.0,3,3,1,0,0,0,6,2,98.68,240.0,39,0.21,7.0,0.86,0.43,0.0,7.69,11.7
22200466,1610612749,201950,G,37.03,3,12,0.25,1,4,0.25,2,3,0.667,1,8.0,9,8,2,2,4,3,9,8,98.68,240.0,39,26.64,17.32,0.52,0.34,0.23,20.51,29.53
22200466,1610612749,1626171,0,19.0,3,7,0.429,0,2,0.0,0,0,0.0,2,4.0,6,1,1,0,0,0,6,-18,98.68,240.0,39,0.37,7.0,0.86,0.43,0.0,2.56,8.04
22200466,1610612749,1626192,0,19.9,2,5,0.4,2,3,0.667,0,0,0.0,0,2.0,2,1,0,0,0,4,6,0,98.68,240.0,39,0.25,5.0,1.2,0.6,0.0,2.56,7.06
22200466,1610612749,204060,0,16.47,1,3,0.333,1,3,0.333,0,0,0.0,1,0.0,1,0,0,0,2,2,3,-8,98.68,240.0,39,29.72,5.0,0.6,0.5,0.4,0.0,0.0
22200466,1610612749,1628975,0,22.48,2,8,0.25,2,6,0.333,0,0,0.0,1,3.0,4,1,0,0,1,3,6,-5,98.68,240.0,39,11.18,9.0,0.67,0.38,0.11,2.56,6.15
22200466,1610612749,202083,0,3.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-9,98.68,240.0,39,67.56,1.0,0.0,,1.0,0.0,0.0
22200466,1610612749,203648,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.68,240.0,39,,0.0,,,,0.0,
22200466,1610612749,201588,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.68,240.0,39,,0.0,,,,0.0,
22200466,1610612749,201586,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.68,240.0,39,,0.0,,,,0.0,
22200466,1610612749,1629670,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.68,240.0,39,,0.0,,,,0.0,
22200466,1610612739,1630171,F,25.22,3,6,0.5,2,4,0.5,0,0,0.0,1,2.0,3,3,1,0,0,3,8,5,98.32,240.0,41,0.24,6.0,1.33,0.67,0.0,7.32,16.18
22200466,1610612739,1630596,F,23.02,3,7,0.429,0,3,0.0,1,2,0.5,0,3.0,3,1,1,1,2,5,7,-6,98.32,240.0,41,21.56,9.879999999999999,0.71,0.44,0.2,2.44,6.0
22200466,1610612739,1628386,C,39.77,8,10,0.8,0,0,0.0,3,4,0.75,4,4.0,8,3,1,0,1,1,19,16,98.32,240.0,41,6.44,12.76,1.49,0.81,0.08,7.32,11.55
22200466,1610612739,1628378,G,36.75,9,21,0.429,3,9,0.333,15,16,0.938,1,3.0,4,6,2,0,2,4,36,15,98.32,240.0,41,14.06,30.04,1.2,0.64,0.07,14.63,26.8
22200466,1610612739,1629636,G,36.85,9,19,0.474,2,5,0.4,3,4,0.75,1,3.0,4,2,1,0,4,4,23,4,98.32,240.0,41,27.07,24.76,0.93,0.55,0.16,4.88,8.9
22200466,1610612739,201567,0,29.13,3,7,0.429,3,6,0.5,0,0,0.0,2,7.0,9,5,0,0,1,2,9,17,98.32,240.0,41,8.62,8.0,1.12,0.64,0.12,12.2,22.85
22200466,1610612739,1627747,0,32.28,3,10,0.3,0,3,0.0,0,0,0.0,0,6.0,6,1,1,2,0,2,6,-6,98.32,240.0,41,0.32,10.0,0.6,0.3,0.0,2.44,4.07
22200466,1610612739,1626224,0,16.98,3,5,0.6,0,2,0.0,0,2,0.0,0,0.0,0,1,1,0,0,0,6,-5,98.32,240.0,41,0.35,5.88,1.02,0.51,0.0,2.44,8.69
22200466,1610612739,1629603,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.32,240.0,41,,0.0,,,,0.0,
22200466,1610612739,201577,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.32,240.0,41,,0.0,,,,0.0,
22200466,1610612739,203526,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,98.32,240.0,41,,0.0,,,,0.0,
22200467,1610612765,202711,F,23.52,1,3,0.333,0,0,0.0,8,9,0.889,1,7.0,8,0,0,0,2,1,10,-2,104.96,240.0,31,19.73,8.96,1.12,0.72,0.22,0.0,0.0
22200467,1610612765,1630191,F,21.88,3,7,0.429,0,1,0.0,0,0,0.0,2,3.0,5,1,0,0,5,5,6,-11,104.96,240.0,31,52.56,12.0,0.5,0.43,0.42,3.23,8.98
22200467,1610612765,1631105,C,28.17,3,4,0.75,0,0,0.0,1,2,0.5,2,6.0,8,4,0,0,2,2,7,-2,104.96,240.0,31,16.4,6.88,1.02,0.72,0.29,12.9,26.33
22200467,1610612765,1631093,G,33.93,7,18,0.389,1,3,0.333,3,6,0.5,2,1.0,3,1,2,0,3,1,18,-5,104.96,240.0,31,20.8,23.64,0.76,0.44,0.13,3.23,6.71
22200467,1610612765,1630165,G,33.8,6,15,0.4,0,2,0.0,0,0,0.0,0,2.0,2,4,1,1,2,1,12,-18,104.96,240.0,31,13.95,17.0,0.71,0.4,0.12,12.9,25.27
22200467,1610612765,1628963,0,19.83,1,5,0.2,1,3,0.333,7,8,0.875,2,8.0,10,2,0,0,1,2,10,-18,104.96,240.0,31,11.94,9.52,1.05,0.59,0.11,6.45,16.94
22200467,1610612765,202692,0,11.95,2,5,0.4,1,3,0.333,2,2,1.0,0,0.0,0,1,1,0,0,2,7,-6,104.96,240.0,31,0.47,5.88,1.19,0.6,0.0,3.23,17.49
22200467,1610612765,1630180,0,27.08,4,10,0.4,2,5,0.4,1,3,0.333,2,1.0,3,1,1,0,2,0,11,-6,104.96,240.0,31,17.29,13.32,0.83,0.49,0.15,3.23,7.41
22200467,1610612765,1628995,0,17.77,1,5,0.2,0,4,0.0,0,0,0.0,0,1.0,1,0,1,0,4,1,2,-19,104.96,240.0,31,51.74,9.0,0.22,0.2,0.44,0.0,0.0
22200467,1610612765,1628977,0,12.07,2,4,0.5,0,0,0.0,3,4,0.75,0,4.0,4,0,0,0,1,0,7,-14,104.96,240.0,31,19.4,6.76,1.04,0.61,0.15,0.0,0.0
22200467,1610612765,203585,0,6.45,0,2,0.0,0,1,0.0,0,0,0.0,0,1.0,1,0,0,0,0,0,0,1,104.96,240.0,31,0.3,2.0,0.0,0.0,0.0,0.0,0.0
22200467,1610612765,202709,0,3.55,1,1,1.0,1,1,1.0,0,0,0.0,0,1.0,1,1,0,0,0,0,3,0,104.96,240.0,31,0.27,1.0,3.0,1.5,0.0,3.23,77.36
22200467,1610612765,203457,DNP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,104.96,240.0,31,,0.0,,,,0.0,
22200467,1610612755,202699,F,21.13,6,9,0.667,2,4,0.5,3,3,1.0,2,2.0,4,1,1,0,1,3,17,0,101.68,240.0,41,11.65,11.32,1.5,0.82,0.09,2.44,8.3
22200467,1610612755,200782,F,21.12,0,3,0.0,0,1,0.0,0,0,0.0,5,5.0,10,0,1,0,0,3,0,-3,101.68,240.0,41,0.14,3.0,0.0,0.0,0.0,0.0,0.0
22200467,1610612755,203954,C,34.18,6,16,0.375,0,1,0.0,10,11,0.909,0,10.0,10,6,0,4,1,3,22,17,101.68,240.0,41,7.51,21.84,1.01,0.53,0.05,14.63,25.87
22200467,1610612755,1629001,G,23.98,4,11,0.364,2,6,0.333,2,2,1.0,2,7.0,9,3,1,0,0,4,12,14,101.68,240.0,41,0.49,11.88,1.01,0.51,0.0,7.32,18.2
22200467,1610612755,201935,G,32.57,6,14,0.429,2,7,0.286,1,2,0.5,0,2.0,2,8,1,1,4,2,15,8,101.68,240.0,41,29.44,18.880000000000003,0.79,0.5,0.21,19.51,36.66
22200467,1610612755,1627777,0,26.55,3,12,0.25,3,11,0.273,2,2,1.0,0,3.0,3,0,2,0,2,3,11,19,101.68,240.0,41,18.26,14.88,0.74,0.43,0.13,0.0,0.0
22200467,1610612755,1626149,0,9.5,5,7,0.714,0,0,0.0,0,0,0.0,1,0.0,1,0,0,1,2,0,10,1,101.68,240.0,41,50.42,9.0,1.11,0.71,0.22,0.0,0.0
22200467,1610612755,1629680,0,13.03,3,5,0.6,0,0,0.0,0,0,0.0,0,0.0,0,1,2,0,0,0,6,14,101.68,240.0,41,0.38,5.0,1.2,0.6,0.0,2.44,12.3
22200467,1610612755,1629003,0,32.2,3,8,0.375,1,3,0.333,2,2,1.0,0,5.0,5,5,0,0,1,1,9,14,101.68,240.0,41,7.6,9.88,0.91,0.51,0.1,12.2,20.4
22200467,1610612755,1627863,0,17.87,4,7,0.571,1,4,0.25,0,0,0.0,2,1.0,3,1,0,1,0,2,9,14,101.68,240.0,41,0.39,7.0,1.29,0.64,0.0,2.44,8.88
22200467,1610612755,1630194,0,4.32,1,1,1.0,0,0,0.0,0,0,0.0,1,1.0,2,0,0,0,1,2,2,2,101.68,240.0,41,54.87,2.0,1.0,1.0,0.5,0.0,0.0
22200467,1610612755,1627788,0,3.55,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,2,0,0,0,0,0,0,101.68,240.0,41,0.0,0.0,,,,4.88,65.96
22200468,1610612741,201942,F,37.83,12,23,0.522,0,1,0.0,4,6,0.667,2,4.0,6,5,1,0,1,5,28,5,98.68,239.99,43,7.12,26.64,1.05,0.55,0.04,11.63,22.84
22200468,1610612741,1630172,F,37.0,5,11,0.455,1,5,0.2,0,0,0.0,1,7.0,8,1,0,2,2,1,11,-3,98.68,239.99,43,13.45,13.0,0.85,0.5,0.15,2.33,3.55
22200468,1610612741,202696,C,33.13,8,17,0.471,2,7,0.286,2,2,1.0,2,5.0,7,2,1,1,0,1,20,-13,98.68,239.99,43,0.55,17.88,1.12,0.56,0.0,4.65,9.23
22200468,1610612741,203897,G,36.92,8,16,0.5,1,2,0.5,5,6,0.833,0,5.0,5,5,1,0,2,1,22,-12,98.68,239.99,43,13.69,20.64,1.07,0.59,0.1,11.63,19.94
22200468,1610612741,1627936,G,10.9,2,2,1.0,1,1,1.0,0,0,0.0,0,2.0,2,0,2,1,0,1,5,19,98.68,239.99,43,0.19,2.0,2.5,1.25,0.0,0.0,0.0
22200468,1610612741,1629632,0,29.73,2,8,0.25,1,5,0.2,5,6,0.833,0,4.0,4,5,2,0,3,2,10,-9,98.68,239.99,43,24.9,13.64,0.73,0.47,0.22,11.63,20.3
22200468,1610612741,1630245,0,34.43,4,6,0.667,1,3,0.333,0,0,0.0,2,1.0,3,2,2,0,1,3,9,13,98.68,239.99,43,7.24,7.0,1.29,0.75,0.14,4.65,7.45
22200468,1610612741,203083,0,14.87,2,3,0.667,0,0,0.0,1,2,0.5,1,10.0,11,0,0,0,2,0,5,15,98.68,239.99,43,32.97,5.88,0.85,0.64,0.34,0.0,0.0
22200468,1610612741,1631207,0,5.18,0,0,0.0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,0,1,0,-5,98.68,239.99,43,0.0,0.0,,,,0.0,0.0
