DATE,GAME_ID,TEAM,TEAM_LVL,PLAYER_ID,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
2022-10-19,22200011,Charlotte,중위팀,1626179,G,29.716666666666665,10,19,0.526,4,7,0.571,0,0,0.0,0,6.0,6,6,0,1,4,1,24,18
2022-10-19,22200011,Charlotte,중위팀,1630208,0,21.433333333333334,7,13,0.538,0,0,0.0,5,7,0.714,8,2.0,10,0,0,0,0,2,19,28
2022-10-19,22200011,Charlotte,중위팀,1630550,0,8.016666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,1.0,1,0,0,1,0,0,0,6
2022-10-19,22200011,Charlotte,중위팀,1630547,0,14.433333333333334,0,5,0.0,0,4,0.0,0,0,0.0,0,2.0,2,1,0,0,0,1,0,-2
2022-10-19,22200011,Charlotte,중위팀,1631121,0,4.333333333333333,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,-7
2022-10-19,22200011,Charlotte,중위팀,1631109,0,4.333333333333333,0,0,0.0,0,0,0.0,2,2,1.0,0,1.0,1,0,0,0,2,3,2,-7
2022-10-19,22200011,Charlotte,중위팀,1630539,0,4.333333333333333,1,1,1.0,1,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,3,-7
2022-10-20,22200015,Philadelphia,상위팀,200782,F,39.166666666666664,1,3,0.333,1,2,0.5,2,2,1.0,4,1.0,5,1,2,1,1,4,5,-4
2022-10-20,22200015,Philadelphia,상위팀,1629001,0,19.566666666666666,4,7,0.571,1,2,0.5,0,0,0.0,0,2.0,2,0,1,0,0,0,9,5
2022-10-20,22200015,Philadelphia,상위팀,1627777,0,8.15,0,1,0.0,0,1,0.0,0,0,0.0,0,1.0,1,0,0,0,0,0,0,0
2022-10-20,22200015,Philadelphia,상위팀,201935,G,40.333333333333336,13,24,0.542,1,7,0.143,4,4,1.0,0,8.0,8,9,2,1,2,2,31,5
2022-10-20,22200015,Philadelphia,상위팀,1630178,G,34.166666666666664,6,13,0.462,0,3,0.0,3,4,0.75,0,2.0,2,0,0,0,1,3,15,-7
2022-10-20,22200015,Philadelphia,상위팀,203954,C,36.13333333333333,6,21,0.286,1,3,0.333,2,3,0.667,1,11.0,12,3,0,1,4,2,15,-10
2022-10-20,22200015,Philadelphia,상위팀,1627863,0,21.266666666666666,2,4,0.5,0,2,0.0,0,0,0.0,0,3.0,3,2,0,0,1,0,4,3
2022-10-20,22200015,Philadelphia,상위팀,202699,F,33.38333333333333,4,10,0.4,1,4,0.25,0,0,0.0,1,9.0,10,2,1,2,1,2,9,2
2022-10-20,22200015,Milwaukee,상위팀,1628975,G,22.0,2,3,0.667,1,2,0.5,0,0,0.0,1,3.0,4,1,1,0,3,2,5,3
2022-10-20,22200015,Milwaukee,상위팀,202083,0,20.383333333333333,3,6,0.5,2,4,0.5,0,0,0.0,3,2.0,5,2,0,1,0,1,8,2
2022-10-20,22200015,Milwaukee,상위팀,1629670,0,15.85,2,5,0.4,2,4,0.5,0,0,0.0,0,3.0,3,0,0,0,0,1,6,-1
2022-10-20,22200015,Milwaukee,상위팀,201588,0,20.55,2,2,1.0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,2,2,4,3
2022-10-20,22200015,Milwaukee,상위팀,1626171,0,22.7,5,10,0.5,1,4,0.25,0,0,0.0,1,9.0,10,0,0,0,1,1,11,-2
2022-10-20,22200015,Milwaukee,상위팀,201950,G,35.8,2,15,0.133,0,6,0.0,2,2,1.0,1,3.0,4,8,2,0,1,1,6,-6
2022-10-20,22200015,Milwaukee,상위팀,201572,C,30.933333333333334,6,16,0.375,4,12,0.333,1,2,0.5,1,3.0,4,1,0,2,0,2,17,0
2022-10-20,22200015,Milwaukee,상위팀,203507,F,36.06666666666667,9,16,0.563,1,3,0.333,2,5,0.4,0,13.0,13,8,1,3,1,4,21,13
2022-10-20,22200015,Milwaukee,상위팀,1628960,F,32.083333333333336,3,10,0.3,2,6,0.333,4,5,0.8,0,3.0,3,4,0,0,3,1,12,-1
2022-10-20,22200015,Philadelphia,상위팀,1630194,0,4.916666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,0,1,0,1
2022-10-20,22200015,Milwaukee,상위팀,201586,0,3.65,0,1,0.0,0,1,0.0,0,0,0.0,0,1.0,1,0,0,0,1,1,0,-1
2022-10-20,22200015,Philadelphia,상위팀,1626149,0,2.6166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2
2022-10-20,22200016,L.A. Clippers,,1628379,0,24.066666666666666,4,6,0.667,3,3,1.0,0,0,0.0,0,1.0,1,1,0,0,0,3,11,-1
2022-10-20,22200016,L.A. Clippers,,202331,F,36.18333333333333,4,12,0.333,2,7,0.286,5,6,0.833,1,9.0,10,4,2,0,5,5,15,16
2022-10-20,22200015,Philadelphia,상위팀,1629680,0,0.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-3
2022-10-20,22200016,L.A. Lakers,중위팀,1627745,0,7.25,1,2,0.5,0,1,0.0,0,0,0.0,0,1.0,1,2,0,0,0,0,2,-9
2022-10-20,22200016,L.A. Lakers,중위팀,1629134,0,11.016666666666667,0,7,0.0,0,4,0.0,0,0,0.0,0,2.0,2,2,0,1,1,1,0,-18
2022-10-20,22200016,L.A. Lakers,중위팀,1630346,0,12.6,2,4,0.5,1,2,0.5,0,0,0.0,0,1.0,1,0,0,0,0,1,5,-2
2022-10-20,22200016,L.A. Lakers,중위팀,1630559,0,21.916666666666668,1,2,0.5,0,1,0.0,2,2,1.0,2,2.0,4,2,0,0,0,5,4,0
2022-10-20,22200016,L.A. Lakers,중위팀,201566,G,27.366666666666667,0,11,0.0,0,6,0.0,2,2,1.0,0,3.0,3,4,5,0,1,3,2,-6
